# list of players generated by chatgpt. 
# Player, team, position, weight

Stephen Curry,Warriors,Guard,Western
Kevin Durant,Suns,Forward,Western
Giannis Antetokounmpo,Bucks,Forward,Eastern
James Harden,Clippers,Guard,Western
Anthony Davis,Lakers,Forward,Western
Kawhi Leonard,Clippers,Forward,Western
Luka Doncic,Mavericks,Guard,Western
Damian Lillard,Bucks,Guard,Eastern
Nikola Jokic,Nuggets,Center,Western
Joel Embiid,76ers,Center,Eastern
Kyrie Irving,Mavericks,Guard,Western
Jayson Tatum,Celtics,Forward,Eastern
Jimmy Butler,Heat,Forward,Eastern
Bradley Beal,Suns,Guard,Western
Paul George,Clippers,Forward,Western
Devin Booker,Suns,Guard,Western
Donovan Mitchell,Jazz,Guard,Western
Trae Young,Hawks,Guard,Eastern
Ja Morant,Grizzlies,Guard,Western
Zion Williamson,Pelicans,Forward,Western
Chris Paul,Warriors,Guard,Western
Khris Middleton,Bucks,Forward,Eastern
Rudy Gobert,Timberwolves,Center,Western
Bam Adebayo,Heat,Center,Eastern
Karl-Anthony Towns,Timberwolves,Center,Western
Pascal Siakam,Raptors,Forward,Eastern
Shai Gilgeous-Alexander,Thunder,Guard,Western
D'Angelo Russell,Lakers,Guard,Western
Brandon Ingram,Pelicans,Forward,Western
CJ McCollum,Pelicans,Guard,Western
Tobias Harris,76ers,Forward,Eastern
Klay Thompson,Warriors,Guard,Western
Jrue Holiday,Celtics,Guard,Eastern
Draymond Green,Warriors,Forward,Western
Kristaps Porzingis,Celtics,Center,Eastern
DeMar DeRozan,Bulls,Forward,Eastern
Jalen Green,Rockets,Guard,Western
Lonzo Ball,Bulls,Guard,Eastern
Gordon Hayward,Thunder,Forward,Eastern
Malcolm Brogdon,Trailblazers,Guard,Eastern
Domantas Sabonis,Kings,Forward,Eastern
Terry Rozier,Hornets,Guard,Eastern
Jamal Murray,Nuggets,Guard,Western
Michael Porter Jr.,Nuggets,Forward,Western
LaMelo Ball,Hornets,Guard,Eastern
Marcus Smart,Grizzlies,Guard,Western
Jaylen Brown,Celtics,Forward,Eastern
Kyle Lowry,76ers,Guard,Eastern
Fred VanVleet,Raptors,Guard,Eastern
Jaren Jackson Jr.,Grizzlies,Forward,Western
Tyrese Haliburton,Pacers,Guard,Eastern
Tyler Herro,Heat,Guard,Eastern
RJ Barrett,Jazz,Forward,Eastern
Mitchell Robinson,Knicks,Center,Eastern
Andre Drummond,Bulls,Center,Eastern
Harrison Barnes,Kings,Forward,Western
Buddy Hield,Pacers,Guard,Eastern
Myles Turner,Pacers,Center,Eastern
Bogdan Bogdanovic,Hawks,Guard,Eastern
John Collins,Jazz,Forward,Eastern
Kevin Huerter,Hawks,Guard,Eastern
Clint Capela,Hawks,Center,Eastern
